,Date,Daily Cases,VIX,S&P,XAL
0,2020-01-02,0,12.47,3257.850098,111.010002
1,2020-01-03,0,14.02,3234.850098,108.860001
2,2020-01-06,0,13.85,3246.280029,107.699997
3,2020-01-07,0,13.79,3237.179932,107.769997
4,2020-01-08,0,13.45,3253.050049,108.66999799999999
5,2020-01-09,0,12.54,3274.699951,109.199997
6,2020-01-10,0,12.56,3265.350098,109.25
7,2020-01-13,0,12.32,3288.1298829999996,109.309998
8,2020-01-14,0,12.39,3283.149902,110.010002
9,2020-01-15,0,12.42,3289.290039,110.160004
10,2020-01-16,0,12.32,3316.810059,112.199997
11,2020-01-17,0,12.1,3329.6201170000004,112.360001
12,2020-01-21,0,12.85,3320.790039,109.379997
13,2020-01-22,1,12.91,3321.75,110.110001
14,2020-01-23,0,12.98,3325.540039,112.269997
15,2020-01-24,1,14.56,3295.469971,110.57
16,2020-01-27,1,18.23,3243.6298829999996,106.900002
17,2020-01-28,0,16.280001000000002,3276.23999,108.66999799999999
18,2020-01-29,1,16.389999,3273.399902,107.940002
19,2020-01-30,0,15.49,3283.659912,109.139999
20,2020-01-31,1,18.84,3225.52002,106.800003
21,2020-02-03,2,17.969998999999998,3248.919922,107.529999
22,2020-02-04,0,16.049999,3297.590088,110.5
23,2020-02-05,0,15.15,3334.689941,112.379997
24,2020-02-06,0,14.96,3345.780029,110.529999
25,2020-02-07,0,15.47,3327.709961,109.660004
26,2020-02-10,0,15.04,3352.090088,109.230003
27,2020-02-11,1,15.18,3357.75,110.949997
28,2020-02-12,0,13.74,3379.4499509999996,112.699997
29,2020-02-13,1,14.15,3373.9399409999996,112.529999
30,2020-02-14,0,13.68,3380.1599119999996,111.589996
31,2020-02-18,1,14.83,3370.290039,110.269997
32,2020-02-19,0,14.38,3386.149902,109.440002
33,2020-02-20,0,15.56,3373.2299799999996,109.599998
34,2020-02-21,3,17.08,3337.75,108.5
35,2020-02-24,1,25.030001000000002,3225.889893,101.82
36,2020-02-25,0,27.85,3128.209961,96.510002
37,2020-02-26,2,27.559998999999998,3116.389893,91.739998
38,2020-02-27,1,39.16,2978.76001,86.41999799999999
39,2020-02-28,2,40.110001000000004,2954.219971,83.83000200000001
40,2020-03-02,22,33.419998,3090.22998,83.870003
41,2020-03-03,19,36.82,3003.3701170000004,80.730003
42,2020-03-04,35,31.99,3130.1201170000004,83.029999
43,2020-03-05,66,39.619999,3023.939941,75.279999
44,2020-03-06,49,41.939999,2972.3701170000004,75.58000200000001
45,2020-03-09,259,54.459998999999996,2746.560059,69.910004
46,2020-03-10,275,47.299999,2882.22998,74.940002
47,2020-03-11,229,53.900002,2741.3798829999996,68.809998
48,2020-03-12,387,75.470001,2480.639893,55.580002
49,2020-03-13,529,57.830002,2711.02002,60.279999
50,2020-03-16,909,82.690002,2386.1298829999996,50.709998999999996
51,2020-03-17,1775,75.910004,2529.189941,48.580002
52,2020-03-18,2755,76.449997,2398.100098,37.169998
53,2020-03-19,4864,72.0,2409.389893,36.880001
54,2020-03-20,4886,66.040001,2304.919922,37.759997999999996
55,2020-03-23,9807,61.59,2237.399902,38.580002
56,2020-03-24,9933,61.669998,2447.330078,46.25
57,2020-03-25,14189,63.950001,2475.560059,50.759997999999996
58,2020-03-26,16124,61.0,2630.070068,52.459998999999996
59,2020-03-27,16443,65.540001,2541.469971,48.080002
60,2020-03-30,20924,57.080002,2626.649902,45.16
61,2020-03-31,23287,53.540001000000004,2584.590088,45.259997999999996
62,2020-04-01,24586,57.060001,2470.5,40.09
63,2020-04-02,28312,50.91,2526.899902,38.599998
64,2020-04-03,35550,46.799999,2488.649902,37.450001
65,2020-04-06,29917,45.240002000000004,2663.679932,39.939999
66,2020-04-07,31683,46.700001,2659.409912,42.630001
67,2020-04-08,33012,43.349998,2749.97998,44.709998999999996
68,2020-04-09,33573,41.669998,2789.820068,48.259997999999996
69,2020-04-13,24633,41.169998,2761.6298829999996,45.849998
70,2020-04-14,25878,37.759997999999996,2846.060059,47.66
71,2020-04-15,30276,40.84,2783.360107,47.369999
72,2020-04-16,32584,40.110001000000004,2799.550049,44.119999
73,2020-04-17,30912,38.150002,2874.560059,46.330002
74,2020-04-20,26358,43.830002,2823.159912,44.869999
75,2020-04-21,25254,45.41,2736.560059,43.959998999999996
76,2020-04-22,28606,41.98,2799.310059,42.759997999999996
77,2020-04-23,31299,41.380001,2797.800049,43.130001
78,2020-04-24,37256,35.93,2836.73999,42.889998999999996
79,2020-04-27,22863,33.290001000000004,2878.47998,42.619999
80,2020-04-28,24227,33.57,2863.389893,46.759997999999996
81,2020-04-29,27875,31.23,2939.51001,51.740002000000004
82,2020-04-30,28895,34.150002,2912.429932,50.259997999999996
83,2020-05-01,33441,37.189999,2830.709961,46.009997999999996
84,2020-05-04,21850,35.970001,2842.73999,44.549999
85,2020-05-05,23427,33.610001000000004,2868.439941,43.41
86,2020-05-06,24281,34.119999,2848.419922,41.529999
87,2020-05-07,27221,31.440001000000002,2881.189941,41.740002000000004
88,2020-05-08,27034,27.98,2929.800049,44.779999
89,2020-05-11,19219,27.57,2930.189941,43.07
90,2020-05-12,21288,33.040001000000004,2870.1201170000004,41.259997999999996
91,2020-05-13,21028,35.279999,2820.0,39.330002
92,2020-05-14,26424,32.610001000000004,2852.5,39.16
93,2020-05-15,24635,31.889999,2863.699951,38.650002
94,2020-05-18,20933,29.299999,2953.909912,44.110001000000004
95,2020-05-19,20599,30.530001000000002,2922.939941,42.91
96,2020-05-20,22543,27.99,2971.610107,45.209998999999996
97,2020-05-21,25542,29.530001000000002,2948.51001,46.169998
98,2020-05-22,23599,28.16,2955.449951,45.52
99,2020-05-26,17832,28.01,2991.77002,50.07
100,2020-05-27,18458,27.620001000000002,3036.1298829999996,51.880001
101,2020-05-28,22451,28.59,3029.72998,49.290001000000004
102,2020-05-29,24817,27.51,3044.310059,48.580002
103,2020-06-01,21281,28.23,3055.72998,50.580002
104,2020-06-02,19289,26.84,3080.820068,52.439999
105,2020-06-03,19633,25.66,3122.8701170000004,57.150002
106,2020-06-04,21811,25.809998999999998,3112.350098,62.939999
107,2020-06-05,28078,24.52,3193.929932,66.489998
108,2020-06-08,17757,25.809998999999998,3232.389893,74.459999
109,2020-06-09,18546,27.57,3207.179932,68.970001
110,2020-06-10,20464,27.57,3190.139893,62.709998999999996
111,2020-06-11,22264,40.790001000000004,3002.100098,53.189999
112,2020-06-12,25635,36.09,3041.310059,59.189999
113,2020-06-15,18723,34.400002,3066.590088,59.549999
114,2020-06-16,25048,33.669998,3124.73999,60.799999
115,2020-06-17,24140,33.470001,3113.48999,59.459998999999996
116,2020-06-18,27305,32.939999,3115.340088,58.959998999999996
117,2020-06-19,31192,35.119999,3097.73999,57.380001
118,2020-06-22,29835,31.77,3117.860107,56.049999
119,2020-06-23,35014,31.370001000000002,3131.290039,57.139998999999996
120,2020-06-24,35225,33.84,3050.330078,52.77
121,2020-06-25,38499,32.220001,3083.76001,53.990002000000004
122,2020-06-26,45881,34.73,3009.050049,51.91
123,2020-06-29,38708,31.780001000000002,3053.23999,55.150002
124,2020-06-30,47289,30.43,3100.290039,54.16
125,2020-07-01,48951,28.620001000000002,3115.860107,53.709998999999996
126,2020-07-02,54365,27.68,3130.01001,53.66
127,2020-07-06,53416,27.940001000000002,3179.719971,55.060001
128,2020-07-07,56522,29.43,3145.320068,52.720001
129,2020-07-08,56998,28.08,3169.939941,53.009997999999996
130,2020-07-09,61300,29.26,3152.050049,50.25
131,2020-07-10,69162,27.290001,3185.040039,53.139998999999996
132,2020-07-13,55166,32.189999,3155.219971,52.040001000000004
133,2020-07-14,66936,29.52,3197.52002,52.040001000000004
134,2020-07-15,64996,27.76,3226.560059,57.130001
135,2020-07-16,79974,28.0,3215.570068,54.880001
136,2020-07-17,67516,25.68,3224.72998,53.849998
137,2020-07-20,58412,24.459999,3251.840088,52.34
138,2020-07-21,66656,24.84,3257.300049,53.34
139,2020-07-22,67014,24.32,3276.02002,53.099998
140,2020-07-23,68156,26.08,3235.659912,53.279999
141,2020-07-24,73070,25.84,3215.6298829999996,52.09
142,2020-07-27,57083,24.74,3239.409912,51.490002000000004
143,2020-07-28,63911,25.440001000000002,3218.439941,52.84
144,2020-07-29,65354,24.1,3258.439941,51.689999
145,2020-07-30,70376,24.76,3246.219971,51.169998
146,2020-07-31,66042,24.459999,3271.1201170000004,50.400002
147,2020-08-03,49708,24.280001000000002,3294.610107,50.009997999999996
148,2020-08-04,52425,23.76,3306.51001,51.220001
149,2020-08-05,53487,22.99,3327.77002,52.98
150,2020-08-06,56343,22.65,3349.159912,54.470001
151,2020-08-07,60973,22.209999,3351.280029,54.27
152,2020-08-10,42335,22.129998999999998,3360.469971,57.060001
153,2020-08-11,56603,24.030001000000002,3333.689941,58.369999
154,2020-08-12,52918,22.280001000000002,3380.350098,57.75
155,2020-08-13,51648,22.129998999999998,3373.429932,56.84
156,2020-08-14,57352,22.049999,3372.850098,57.389998999999996
157,2020-08-17,40244,21.35,3381.98999,55.34
158,2020-08-18,41337,21.51,3389.780029,55.490002000000004
159,2020-08-19,45092,22.540001,3374.850098,55.540001000000004
160,2020-08-20,43689,22.719998999999998,3385.51001,55.549999
161,2020-08-21,49405,22.540001,3397.1599119999996,54.849998
162,2020-08-24,39662,22.370001000000002,3431.280029,58.860001000000004
163,2020-08-25,38371,22.030001000000002,3443.6201170000004,58.560001
164,2020-08-26,45793,23.27,3478.7299799999996,57.330002
165,2020-08-27,45807,24.469998999999998,3484.5500490000004,59.57
166,2020-08-28,44915,22.959999,3508.01001,61.529999
167,2020-08-31,35585,26.41,3500.3100590000004,59.07
168,2020-09-01,42987,26.120001000000002,3526.649902,59.419998
169,2020-09-02,39839,26.57,3580.8400880000004,60.689999
170,2020-09-03,42782,33.599998,3455.0600590000004,60.77
171,2020-09-04,49380,30.75,3426.959961,60.77
172,2020-09-08,23256,31.459999,3331.840088,62.209998999999996
173,2020-09-09,34739,28.809998999999998,3398.959961,60.970001
174,2020-09-10,36867,29.709999,3339.189941,61.25
175,2020-09-11,46047,26.870001000000002,3340.969971,61.099998
176,2020-09-14,46839,25.85,3383.540039,63.009997999999996
177,2020-09-15,41108,25.59,3401.1999509999996,63.09
178,2020-09-16,40524,26.040001,3385.48999,65.059998
179,2020-09-17,43870,26.459999,3357.01001,63.959998999999996
180,2020-09-18,48507,25.83,3319.469971,61.91
181,2020-09-21,37274,27.780001000000002,3281.060059,61.91
182,2020-09-22,49767,26.860001,3315.570068,57.439999
183,2020-09-23,39060,28.58,3236.919922,56.099998
184,2020-09-24,42194,28.51,3246.590088,55.68
185,2020-09-25,57207,26.379998999999998,3298.459961,56.619999
